t theta theta1 theta2 omega omega1 omega2
3.050000 16.0554 25.7747 -3.97389 2.42791 -0.582548 -0.313384
3.060000 17.3835 25.4498 -4.13631 2.20193 -0.549991 -0.252344
3.070000 18.573 25.1461 -4.26194 1.94609 -0.508866 -0.185467
3.080000 19.61 24.8677 -4.34826 1.67133 -0.462102 -0.115499
3.090000 20.4861 24.6172 -4.39406 1.38544 -0.411854 -0.0442688
3.100000 21.1964 24.3962 -4.39895 1.09327 -0.359534 0.0271935
3.110000 21.7382 24.2055 -4.36294 0.79747 -0.305948 0.0984638
3.120000 22.1097 24.0458 -4.28615 0.499021 -0.251458 0.169543
3.130000 22.3095 23.9175 -4.16864 0.197834 -0.19612 0.240714
3.140000 22.3358 23.8212 -4.01021 -0.106881 -0.139795 0.312438
3.150000 22.1861 23.7575 -3.8104 -0.416294 -0.0822372 0.385279
3.160000 21.8576 23.7273 -3.56839 -0.731663 -0.0231815 0.459826
3.170000 21.3464 23.7313 -3.28305 -1.05396 0.0375474 0.536605
3.180000 20.6485 23.7706 -2.95299 -1.38332 0.099878 0.615938
3.190000 19.7602 23.8459 -2.57677 -1.71805 0.163238 0.697692
3.200000 18.6796 23.9576 -2.15321 -2.05317 0.226158 0.780885
3.210000 17.4093 24.1045 -1.68212 -2.37817 0.285727 0.863079
3.220000 15.9598 24.2834 -1.16525 -2.67463 0.337033 0.939697
3.230000 14.355 24.4878 -0.607699 -2.91543 0.373081 1.00371
3.240000 12.6357 24.7065 -0.0191236 -3.06894 0.386018 1.04659
3.250000 10.8598 24.9246 0.586164 -3.10998 0.370034 1.06115
3.260000 9.09474 25.1248 1.19096 -3.03234 0.324426 1.04496
3.270000 7.40475 25.2916 1.77837 -2.85194 0.254093 1.00147
3.280000 5.84079 25.4128 2.3347 -2.59755 0.166918 0.9378
3.290000 4.43671 25.4811 2.8506 -2.2982 0.0704754 0.86149
3.300000 3.21161 25.4929 3.32061 -1.97571 -0.0297512 0.778389
3.310000 2.17452 25.4469 3.742 -1.64354 -0.130559 0.69222
3.320000 1.32878 25.3434 4.11363 -1.30847 -0.230495 0.604948
3.330000 0.675223 25.183 4.43515 -0.97279 -0.329251 0.517328
3.340000 0.214236 24.9663 4.70638 -0.636029 -0.427223 0.429333
3.350000 -0.0529826 24.6934 4.92696 -0.295927 -0.525243 0.340436
3.360000 -0.123577 24.3642 5.09615 0.0509853 -0.624448 0.249764
3.370000 0.00758896 23.9774 5.21262 0.409169 -0.726225 0.156172
3.380000 0.34847 23.5312 5.27429 0.784003 -0.832205 0.0582698
3.390000 0.910356 23.0226 5.27826 1.18172 -0.944257 -0.0455359
3.400000 1.70827 22.4476 5.22066 1.609 -1.06441 -0.156923
3.410000 2.7609 21.801 5.09673 2.07153 -1.19446 -0.27724
3.420000 4.08894 21.0768 4.90127 2.56952 -1.33491 -0.406324
3.430000 5.70921 20.27 4.63025 3.08648 -1.482 -0.539581
3.440000 7.61925 19.3798 4.28485 3.56702 -1.62187 -0.662353
3.450000 9.76806 18.4184 3.87885 3.89632 -1.72493 -0.745075
3.460000 12.029 17.4172 3.44528 3.94082 -1.75575 -0.754377
3.470000 14.2229 16.4223 3.02979 3.6711 -1.70515 -0.684479
3.480000 16.1963 15.4737 2.67052 3.19502 -1.60002 -0.564349
3.490000 17.8698 14.5927 2.3862 2.64213 -1.47387 -0.427373
3.500000 19.2238 13.7849 2.18036 2.08719 -1.3465 -0.292239
3.510000 20.2664 13.0485 2.04973 1.55699 -1.22522 -0.165215
